id;external_id;parent_id;title;page_title;description;meta_title;meta_description;image;image_alt;display_in_search;display_in_menu;is_filter
55734;;55675;Nehty;Nehty;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68da3108e0d07.png;;;1;
55735;;55675;Pedikůra;Pedikůra;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68da312d083b9.png;;;1;
55736;;55675;Péče o tělo;Péče o tělo;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_10_68da314eb2cde.png;;;1;
55681;;0;Zdraví & wellness;Zdraví & wellness;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_11.png;;;;
55684;;55681;Výživa & Nutriční koučink;Výživa & Nutriční koučink;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_11_68d408327aed5.png;;;1;
55685;;55681;Jóga & Pilates;Jóga & Pilates;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_11_68d409de1d725.png;;;1;
55686;;55681;Osobní trenér;Osobní trenér;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_11_68d409ff18504.png;;;1;
55740;;55681;Masáže;Masáže;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_11_68da910a59361.png;;;1;
55687;;0;Péče o děti;Péče o děti;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_12.png;;;;
55688;;55687;Jednorázové hlídání;Jednorázové hlídání;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_12_68d40d7b39e1e.png;;;1;
55689;;55687;Pravidelné hlídání;Pravidelné hlídání;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_12_68d40d9d2819e.png;;;1;
55690;;55687;Odvoz na kroužky;Odvoz na kroužky;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_12_68d40eb0f04b8.png;;;1;
55691;;0;Péče o zvířata;Péče o zvířata;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13.png;;;;
55692;;55691;Venčení & hlídání psů;Venčení & hlídání psů;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d40ff269dd7.png;;;1;
55694;;55691;Hlídání koček;Hlídání koček;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d410412f81e.png;;;1;
55695;;55691;Krmení a návštěvy dalších zvířat;Krmení a návštěvy dalších zvířat;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d4106303b67.png;;;1;
55696;;55691;Péče o koně a hospodářská zvířata;Péče o koně a hospodářská zvířata;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d4108ea1321.png;;;1;
55698;;55691;Asistence u veterináře;Asistence u veterináře;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d411557d83d.png;;;1;
55699;;55691;Péče o vzhled;Péče o vzhled;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d4117970fa9.png;;;1;
55700;;55691;Výcvik a socializace;Výcvik a socializace;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_13_68d411ad17462.png;;;1;
55701;;0;Auto, moto & doprava;Auto, moto & doprava;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_14.png;;;;
55702;;55701;Servis & montáž;Servis & montáž;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_14_68d4127b8106d.png;;;1;
55705;;55701;Čištění & mytí;Čištění & mytí;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_14_68d413bca43b4.png;;;1;
55703;;55701;Přeprava;Přeprava;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_14_68d413379569e.png;;;1;
55706;;0;Události & svatby;Události & svatby;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_15.png;;;;
55707;;55706;Foto & video;Foto & video;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_15_68d4422d7badf.png;;;1;
55708;;55706;Hudba & zábava;Hudba & zábava;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_15_68d44273d4aed.png;;;1;
55709;;55706;Plánování & organizace;Plánování & organizace;;;;https://kreezalid.s3.eu-central-1.amazonaws.com/pindo/catalog/categories/kopie_navrhu_kopie_navrhu_kopie_navrhu_navrh_bez_nazvu_15_68d442a2cbe1d.png;;;1;
